"epoch","basic_gnn_aug - _step","basic_gnn_aug - _step__MIN","basic_gnn_aug - _step__MAX","basic_gnn_aug - train_displacement_distance_epoch","basic_gnn_aug - train_displacement_distance_epoch__MIN","basic_gnn_aug - train_displacement_distance_epoch__MAX","eq_gnn - _step","eq_gnn - _step__MIN","eq_gnn - _step__MAX","eq_gnn - train_displacement_distance_epoch","eq_gnn - train_displacement_distance_epoch__MIN","eq_gnn - train_displacement_distance_epoch__MAX","basic_gnn - _step","basic_gnn - _step__MIN","basic_gnn - _step__MAX","basic_gnn - train_displacement_distance_epoch","basic_gnn - train_displacement_distance_epoch__MIN","basic_gnn - train_displacement_distance_epoch__MAX"
"0","19","19","19","0.10411784797906876","0.10411784797906876","0.10411784797906876","15","15","15","0.10424113273620605","0.10424113273620605","0.10424113273620605","19","19","19","0.10382600873708725","0.10382600873708725","0.10382600873708725"
"1","39","39","39","0.08762915432453156","0.08762915432453156","0.08762915432453156","31","31","31","0.10636639595031738","0.10636639595031738","0.10636639595031738","39","39","39","0.08664564043283463","0.08664564043283463","0.08664564043283463"
"2","59","59","59","0.08165271580219269","0.08165271580219269","0.08165271580219269","47","47","47","0.10505256801843643","0.10505256801843643","0.10505256801843643","59","59","59","0.0834062322974205","0.0834062322974205","0.0834062322974205"
"3","79","79","79","0.08032713830471039","0.08032713830471039","0.08032713830471039","63","63","63","0.10138045251369476","0.10138045251369476","0.10138045251369476","79","79","79","0.08035870641469955","0.08035870641469955","0.08035870641469955"
"4","99","99","99","0.07775091379880905","0.07775091379880905","0.07775091379880905","79","79","79","0.10476598888635635","0.10476598888635635","0.10476598888635635","99","99","99","0.07859498262405396","0.07859498262405396","0.07859498262405396"
"5","119","119","119","0.07761184871196747","0.07761184871196747","0.07761184871196747","95","95","95","0.10307062417268753","0.10307062417268753","0.10307062417268753","119","119","119","0.07748709619045258","0.07748709619045258","0.07748709619045258"
"6","139","139","139","0.07900479435920715","0.07900479435920715","0.07900479435920715","111","111","111","0.09988787025213242","0.09988787025213242","0.09988787025213242","139","139","139","0.07638921588659286","0.07638921588659286","0.07638921588659286"
"7","159","159","159","0.07572873681783676","0.07572873681783676","0.07572873681783676","127","127","127","0.09265507012605667","0.09265507012605667","0.09265507012605667","159","159","159","0.07475174963474274","0.07475174963474274","0.07475174963474274"
"8","179","179","179","0.07633807510137558","0.07633807510137558","0.07633807510137558","143","143","143","0.08288224041461945","0.08288224041461945","0.08288224041461945","179","179","179","0.07486410439014435","0.07486410439014435","0.07486410439014435"
"9","199","199","199","0.07654689997434616","0.07654689997434616","0.07654689997434616","159","159","159","0.08056461066007614","0.08056461066007614","0.08056461066007614","199","199","199","0.07469052076339722","0.07469052076339722","0.07469052076339722"
"10","219","219","219","0.07496123015880585","0.07496123015880585","0.07496123015880585","175","175","175","0.0775354728102684","0.0775354728102684","0.0775354728102684","219","219","219","0.07363376766443253","0.07363376766443253","0.07363376766443253"
"11","239","239","239","0.07590930163860321","0.07590930163860321","0.07590930163860321","191","191","191","0.07728584110736847","0.07728584110736847","0.07728584110736847","239","239","239","0.07214523106813431","0.07214523106813431","0.07214523106813431"
"12","259","259","259","0.07505372911691666","0.07505372911691666","0.07505372911691666","207","207","207","0.07756035029888153","0.07756035029888153","0.07756035029888153","259","259","259","0.07276055961847305","0.07276055961847305","0.07276055961847305"
"13","279","279","279","0.07398755848407745","0.07398755848407745","0.07398755848407745","223","223","223","0.07494360953569412","0.07494360953569412","0.07494360953569412","279","279","279","0.07175147533416748","0.07175147533416748","0.07175147533416748"
"14","299","299","299","0.07481363415718079","0.07481363415718079","0.07481363415718079","239","239","239","0.07445994764566422","0.07445994764566422","0.07445994764566422","299","299","299","0.07131810486316681","0.07131810486316681","0.07131810486316681"
"15","319","319","319","0.07499981671571732","0.07499981671571732","0.07499981671571732","255","255","255","0.07460835576057434","0.07460835576057434","0.07460835576057434","319","319","319","0.0718768909573555","0.0718768909573555","0.0718768909573555"
"16","339","339","339","0.07497328519821167","0.07497328519821167","0.07497328519821167","271","271","271","0.07334417849779129","0.07334417849779129","0.07334417849779129","339","339","339","0.0709795206785202","0.0709795206785202","0.0709795206785202"
"17","359","359","359","0.07391230762004852","0.07391230762004852","0.07391230762004852","287","287","287","0.07305833697319031","0.07305833697319031","0.07305833697319031","359","359","359","0.07174231857061386","0.07174231857061386","0.07174231857061386"
"18","379","379","379","0.07386410236358643","0.07386410236358643","0.07386410236358643","303","303","303","0.0723145455121994","0.0723145455121994","0.0723145455121994","379","379","379","0.07004448771476746","0.07004448771476746","0.07004448771476746"
"19","399","399","399","0.07344058901071548","0.07344058901071548","0.07344058901071548","319","319","319","0.07286617904901505","0.07286617904901505","0.07286617904901505","399","399","399","0.06995284557342529","0.06995284557342529","0.06995284557342529"
"20","419","419","419","0.07249344140291214","0.07249344140291214","0.07249344140291214","335","335","335","0.07366027683019638","0.07366027683019638","0.07366027683019638","419","419","419","0.07091101258993149","0.07091101258993149","0.07091101258993149"
"21","439","439","439","0.07280026376247406","0.07280026376247406","0.07280026376247406","351","351","351","0.07164055109024048","0.07164055109024048","0.07164055109024048","439","439","439","0.07188600301742554","0.07188600301742554","0.07188600301742554"
"22","459","459","459","0.07234274595975876","0.07234274595975876","0.07234274595975876","367","367","367","0.07316190004348755","0.07316190004348755","0.07316190004348755","459","459","459","0.07027866691350937","0.07027866691350937","0.07027866691350937"
"23","479","479","479","0.0713777244091034","0.0713777244091034","0.0713777244091034","383","383","383","0.07206714898347855","0.07206714898347855","0.07206714898347855","479","479","479","0.07077502459287643","0.07077502459287643","0.07077502459287643"
"24","499","499","499","0.07293751090765","0.07293751090765","0.07293751090765","399","399","399","0.07250098884105682","0.07250098884105682","0.07250098884105682","499","499","499","0.07023464888334274","0.07023464888334274","0.07023464888334274"
"25","519","519","519","0.07244240492582321","0.07244240492582321","0.07244240492582321","415","415","415","0.07143084704875946","0.07143084704875946","0.07143084704875946","519","519","519","0.06897860020399094","0.06897860020399094","0.06897860020399094"
"26","539","539","539","0.07356195896863937","0.07356195896863937","0.07356195896863937","431","431","431","0.07175686210393906","0.07175686210393906","0.07175686210393906","539","539","539","0.07060552388429642","0.07060552388429642","0.07060552388429642"
"27","559","559","559","0.07383158802986145","0.07383158802986145","0.07383158802986145","447","447","447","0.07211229205131531","0.07211229205131531","0.07211229205131531","559","559","559","0.0693761482834816","0.0693761482834816","0.0693761482834816"
"28","579","579","579","0.0719313845038414","0.0719313845038414","0.0719313845038414","463","463","463","0.07024504989385605","0.07024504989385605","0.07024504989385605","579","579","579","0.06846312433481216","0.06846312433481216","0.06846312433481216"
"29","599","599","599","0.07169898599386215","0.07169898599386215","0.07169898599386215","479","479","479","0.07000687718391418","0.07000687718391418","0.07000687718391418","599","599","599","0.07020610570907593","0.07020610570907593","0.07020610570907593"
"30","619","619","619","0.07267506420612335","0.07267506420612335","0.07267506420612335","495","495","495","0.0696602538228035","0.0696602538228035","0.0696602538228035","619","619","619","0.06855171173810959","0.06855171173810959","0.06855171173810959"
"31","639","639","639","0.07165183126926422","0.07165183126926422","0.07165183126926422","511","511","511","0.07009374350309372","0.07009374350309372","0.07009374350309372","639","639","639","0.0687563493847847","0.0687563493847847","0.0687563493847847"
"32","659","659","659","0.07061761617660522","0.07061761617660522","0.07061761617660522","527","527","527","0.07091674953699112","0.07091674953699112","0.07091674953699112","659","659","659","0.06919755786657333","0.06919755786657333","0.06919755786657333"
"33","679","679","679","0.07110850512981415","0.07110850512981415","0.07110850512981415","543","543","543","0.06985577195882797","0.06985577195882797","0.06985577195882797","679","679","679","0.06912858784198761","0.06912858784198761","0.06912858784198761"
"34","699","699","699","0.07180217653512955","0.07180217653512955","0.07180217653512955","559","559","559","0.06962233036756516","0.06962233036756516","0.06962233036756516","699","699","699","0.07004263997077942","0.07004263997077942","0.07004263997077942"
"35","719","719","719","0.07079526782035828","0.07079526782035828","0.07079526782035828","575","575","575","0.06877366453409195","0.06877366453409195","0.06877366453409195","719","719","719","0.06836887449026108","0.06836887449026108","0.06836887449026108"
"36","739","739","739","0.07064001262187958","0.07064001262187958","0.07064001262187958","591","591","591","0.06892382353544235","0.06892382353544235","0.06892382353544235","739","739","739","0.06882724910974503","0.06882724910974503","0.06882724910974503"
"37","759","759","759","0.07068998366594315","0.07068998366594315","0.07068998366594315","607","607","607","0.06797894835472107","0.06797894835472107","0.06797894835472107","759","759","759","0.06790819019079208","0.06790819019079208","0.06790819019079208"
"38","779","779","779","0.07110406458377838","0.07110406458377838","0.07110406458377838","623","623","623","0.06776165217161179","0.06776165217161179","0.06776165217161179","779","779","779","0.06656266003847122","0.06656266003847122","0.06656266003847122"
"39","799","799","799","0.07106680423021317","0.07106680423021317","0.07106680423021317","639","639","639","0.06719774007797241","0.06719774007797241","0.06719774007797241","799","799","799","0.06645999848842621","0.06645999848842621","0.06645999848842621"
"40","819","819","819","0.07137276977300644","0.07137276977300644","0.07137276977300644","655","655","655","0.0669318214058876","0.0669318214058876","0.0669318214058876","819","819","819","0.06642007827758789","0.06642007827758789","0.06642007827758789"
"41","839","839","839","0.07018909603357315","0.07018909603357315","0.07018909603357315","671","671","671","0.06683637946844101","0.06683637946844101","0.06683637946844101","839","839","839","0.06675722450017929","0.06675722450017929","0.06675722450017929"
"42","859","859","859","0.07292182743549347","0.07292182743549347","0.07292182743549347","687","687","687","0.06658277660608292","0.06658277660608292","0.06658277660608292","859","859","859","0.06658737361431122","0.06658737361431122","0.06658737361431122"
"43","879","879","879","0.07085344940423965","0.07085344940423965","0.07085344940423965","703","703","703","0.06659364700317383","0.06659364700317383","0.06659364700317383","879","879","879","0.06622655689716339","0.06622655689716339","0.06622655689716339"
"44","899","899","899","0.07094565778970718","0.07094565778970718","0.07094565778970718","719","719","719","0.06633425503969193","0.06633425503969193","0.06633425503969193","899","899","899","0.06639754772186279","0.06639754772186279","0.06639754772186279"
"45","919","919","919","0.0700109452009201","0.0700109452009201","0.0700109452009201","735","735","735","0.0666731670498848","0.0666731670498848","0.0666731670498848","919","919","919","0.06650393456220627","0.06650393456220627","0.06650393456220627"
"46","939","939","939","0.0693463534116745","0.0693463534116745","0.0693463534116745","751","751","751","0.06732121109962463","0.06732121109962463","0.06732121109962463","939","939","939","0.06588654220104218","0.06588654220104218","0.06588654220104218"
"47","959","959","959","0.06964322179555893","0.06964322179555893","0.06964322179555893","767","767","767","0.06666740775108337","0.06666740775108337","0.06666740775108337","959","959","959","0.06624770164489746","0.06624770164489746","0.06624770164489746"
"48","979","979","979","0.06891576945781708","0.06891576945781708","0.06891576945781708","783","783","783","0.06645908206701279","0.06645908206701279","0.06645908206701279","979","979","979","0.06576134264469147","0.06576134264469147","0.06576134264469147"
"49","999","999","999","0.06911303102970123","0.06911303102970123","0.06911303102970123","799","799","799","0.06628086417913437","0.06628086417913437","0.06628086417913437","999","999","999","0.06514782458543777","0.06514782458543777","0.06514782458543777"
"50","1019","1019","1019","0.06896769255399704","0.06896769255399704","0.06896769255399704","815","815","815","0.06607310473918915","0.06607310473918915","0.06607310473918915","1019","1019","1019","0.06515588611364365","0.06515588611364365","0.06515588611364365"
"51","1039","1039","1039","0.06899875402450562","0.06899875402450562","0.06899875402450562","831","831","831","0.06611654907464981","0.06611654907464981","0.06611654907464981","1039","1039","1039","0.06627846509218216","0.06627846509218216","0.06627846509218216"
"52","1059","1059","1059","0.06911496818065643","0.06911496818065643","0.06911496818065643","847","847","847","0.06680411100387573","0.06680411100387573","0.06680411100387573","1059","1059","1059","0.0656186044216156","0.0656186044216156","0.0656186044216156"
"53","1079","1079","1079","0.06898368149995804","0.06898368149995804","0.06898368149995804","863","863","863","0.06615416705608368","0.06615416705608368","0.06615416705608368","1079","1079","1079","0.06551457196474075","0.06551457196474075","0.06551457196474075"
"54","1099","1099","1099","0.06870009750127792","0.06870009750127792","0.06870009750127792","879","879","879","0.06571869552135468","0.06571869552135468","0.06571869552135468","1099","1099","1099","0.06484056264162064","0.06484056264162064","0.06484056264162064"
"55","1119","1119","1119","0.06800516694784164","0.06800516694784164","0.06800516694784164","895","895","895","0.06537545472383499","0.06537545472383499","0.06537545472383499","1119","1119","1119","0.06544410437345505","0.06544410437345505","0.06544410437345505"
"56","1139","1139","1139","0.06857220083475113","0.06857220083475113","0.06857220083475113","911","911","911","0.06579408794641495","0.06579408794641495","0.06579408794641495","1139","1139","1139","0.06497487425804138","0.06497487425804138","0.06497487425804138"
"57","1159","1159","1159","0.06850703060626984","0.06850703060626984","0.06850703060626984","927","927","927","0.06579399853944778","0.06579399853944778","0.06579399853944778","1159","1159","1159","0.06514081358909607","0.06514081358909607","0.06514081358909607"
"58","1179","1179","1179","0.06840355694293976","0.06840355694293976","0.06840355694293976","943","943","943","0.06535898894071579","0.06535898894071579","0.06535898894071579","1179","1179","1179","0.06509435921907425","0.06509435921907425","0.06509435921907425"
"59","1199","1199","1199","0.06838861107826233","0.06838861107826233","0.06838861107826233","959","959","959","0.06578260660171509","0.06578260660171509","0.06578260660171509","1199","1199","1199","0.06430914998054504","0.06430914998054504","0.06430914998054504"
"60","1219","1219","1219","0.06748440861701965","0.06748440861701965","0.06748440861701965","975","975","975","0.06524278968572617","0.06524278968572617","0.06524278968572617","1219","1219","1219","0.06405078619718552","0.06405078619718552","0.06405078619718552"
"61","1239","1239","1239","0.06791587918996811","0.06791587918996811","0.06791587918996811","991","991","991","0.06508855521678925","0.06508855521678925","0.06508855521678925","1239","1239","1239","0.06375880539417267","0.06375880539417267","0.06375880539417267"
"62","1259","1259","1259","0.06852550804615021","0.06852550804615021","0.06852550804615021","1007","1007","1007","0.0650259405374527","0.0650259405374527","0.0650259405374527","1259","1259","1259","0.06442346423864365","0.06442346423864365","0.06442346423864365"
"63","1279","1279","1279","0.06880205869674683","0.06880205869674683","0.06880205869674683","1023","1023","1023","0.0660063847899437","0.0660063847899437","0.0660063847899437","1279","1279","1279","0.0639304518699646","0.0639304518699646","0.0639304518699646"
"64","1299","1299","1299","0.06768830865621567","0.06768830865621567","0.06768830865621567","1039","1039","1039","0.06549610942602158","0.06549610942602158","0.06549610942602158","1299","1299","1299","0.06454166769981384","0.06454166769981384","0.06454166769981384"
"65","1319","1319","1319","0.06808866560459137","0.06808866560459137","0.06808866560459137","1055","1055","1055","0.06490946561098099","0.06490946561098099","0.06490946561098099","1319","1319","1319","0.06474894285202026","0.06474894285202026","0.06474894285202026"
